AccountNumber,NMI,DeviceNumber,DeviceType,RegisterCode,RateTypeDescription,StartDate,EndDate,ProfileReadValue,RegisterReadValue,QualityFlag
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E1,Generalusage,21/05/2024 12:00:00 AM,21/05/2024 12:29:59 AM,0.3982,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E2,Controlledload,21/05/2024 12:00:00 AM,21/05/2024 12:29:59 AM,0,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E1,Generalusage,21/05/2024 12:30:00 AM,21/05/2024 12:59:59 AM,0.388,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E2,Controlledload,21/05/2024 12:30:00 AM,21/05/2024 12:59:59 AM,0.661,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E1,Generalusage,21/05/2024 01:00:00 AM,21/05/2024 01:29:59 AM,0.4349,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E2,Controlledload,21/05/2024 01:00:00 AM,21/05/2024 01:29:59 AM,1.142,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E1,Generalusage,21/05/2024 01:30:00 AM,21/05/2024 01:59:59 AM,0.383,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E2,Controlledload,21/05/2024 01:30:00 AM,21/05/2024 01:59:59 AM,0,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E1,Generalusage,21/05/2024 02:00:00 AM,21/05/2024 02:29:59 AM,0.4039,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E2,Controlledload,21/05/2024 02:00:00 AM,21/05/2024 02:29:59 AM,0.0963,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E1,Generalusage,21/05/2024 02:30:00 AM,21/05/2024 02:59:59 AM,0.3815,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E2,Controlledload,21/05/2024 02:30:00 AM,21/05/2024 02:59:59 AM,0.5996,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E1,Generalusage,21/05/2024 03:00:00 AM,21/05/2024 03:29:59 AM,0.4228,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E2,Controlledload,21/05/2024 03:00:00 AM,21/05/2024 03:29:59 AM,0,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E1,Generalusage,21/05/2024 03:30:00 AM,21/05/2024 03:59:59 AM,0.4019,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E2,Controlledload,21/05/2024 03:30:00 AM,21/05/2024 03:59:59 AM,0,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E1,Generalusage,21/05/2024 04:00:00 AM,21/05/2024 04:29:59 AM,0.3977,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E2,Controlledload,21/05/2024 04:00:00 AM,21/05/2024 04:29:59 AM,0,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E1,Generalusage,21/05/2024 04:30:00 AM,21/05/2024 04:59:59 AM,0.3769,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E2,Controlledload,21/05/2024 04:30:00 AM,21/05/2024 04:59:59 AM,0,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E1,Generalusage,21/05/2024 05:00:00 AM,21/05/2024 05:29:59 AM,1.695,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E2,Controlledload,21/05/2024 05:00:00 AM,21/05/2024 05:29:59 AM,0.6023,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E1,Generalusage,21/05/2024 05:30:00 AM,21/05/2024 05:59:59 AM,0.8505,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E2,Controlledload,21/05/2024 05:30:00 AM,21/05/2024 05:59:59 AM,0,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E1,Generalusage,21/05/2024 06:00:00 AM,21/05/2024 06:29:59 AM,0.4226,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E2,Controlledload,21/05/2024 06:00:00 AM,21/05/2024 06:29:59 AM,0,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E1,Generalusage,21/05/2024 06:30:00 AM,21/05/2024 06:59:59 AM,0.3751,0,A
ACCO_7af682ab00,NMI_a5bcdac9a0,DEVI_767b91b721,COMMS4D,48395#E2,Controlledload,21/05/2024 06:30:00 AM,21/05/2024 06:59:59 AM,0,0,A
